TaskID,WBS,TaskName,StartDate,EndDate,DurationDays,Predecessors,OwnerRole,Deliverable,AcceptanceKPI,ProgressPct,RiskFlag
1,1,阶段1-需求分析,2026-03-09,2026-03-27,15,,PM/PO,PRD+RTM,需求覆盖率=100%,0,Low
2,1.1,提取并映射walletplan目标,2026-03-09,2026-03-12,4,,PO,钱包需求清单,F-ID映射完整,0,Low
3,1.2,提取并映射chainplan目标,2026-03-09,2026-03-12,4,,链架构师,链需求清单,F-ID映射完整,0,Low
4,1.3,需求去重与优先级评审,2026-03-13,2026-03-18,4,"2;3",PO/PM,统一需求基线,P0/P1/P2确认,0,Medium
5,1.4,需求追踪矩阵与验收口径,2026-03-19,2026-03-24,4,4,QA负责人,RTM文档,可追踪率=100%,0,Low
6,1.5,里程碑评审与M1冻结,2026-03-25,2026-03-27,3,5,PM,评审纪要,M1通过,0,Low
7,2,阶段2-架构设计,2026-03-30,2026-04-24,20,6,架构组,HLD/LLD,架构评审通过率=100%,0,Medium
8,2.1,链架构设计(P2P/StateDB/Consensus),2026-03-30,2026-04-08,8,6,链架构师,链端架构文档,关键方案冻结,0,Medium
9,2.2,钱包架构设计(密钥/签名/资产域),2026-03-30,2026-04-08,8,6,钱包架构师,钱包架构文档,关键方案冻结,0,Medium
10,2.3,接口契约设计(gRPC/REST/WS),2026-04-09,2026-04-15,5,"8;9",后端负责人,接口规范,接口冻结>=95%,0,Medium
11,2.4,威胁建模与安全评审,2026-04-09,2026-04-17,7,9,安全负责人,安全评审报告,高风险均有缓解策略,0,High
12,2.5,容量评估与CI/CD设计,2026-04-16,2026-04-22,5,10,DevOps,SRE方案,压测与发布策略就绪,0,Low
13,2.6,M2架构冻结评审,2026-04-23,2026-04-24,2,"10;11;12",PM/CCB,架构冻结纪要,M2通过,0,Low
14,3,阶段3-核心开发,2026-04-27,2026-07-31,70,13,开发组,代码与测试,P0实现率=100%,0,High
15,3.1,链模块开发-x/auth+x/bank,2026-04-27,2026-05-22,20,13,链开发A,模块代码+单测,单测通过>=90%,0,High
16,3.2,链模块开发-staking+distribution+gov,2026-05-04,2026-06-05,25,13,链开发B,模块代码+单测,单测通过>=90%,0,High
17,3.3,链模块开发-IBC+upgrade+snapshot,2026-05-18,2026-06-19,25,15,链开发C,模块代码+演练记录,E2E通过>=95%,0,High
18,3.4,钱包开发-密钥与账户体系,2026-04-27,2026-05-29,25,13,钱包开发A,钱包核心代码,安全测试通过,0,High
19,3.5,钱包开发-交易生命周期与资产看板,2026-05-11,2026-06-26,35,"18;15",钱包开发B,交易与资产功能,E2E通过>=95%,0,High
20,3.6,钱包开发-质押治理IBC与DApp互联,2026-06-01,2026-07-31,45,"16;17;19",钱包开发C,生态功能代码,关键场景通过>=95%,0,High
21,3.7,后端开发-Indexer/通知/WebSocket,2026-05-04,2026-07-17,55,"10;15",后端工程师,后端服务,事件延迟<3s,0,Medium
22,3.8,测试资产建设与自动化补齐,2026-05-18,2026-07-31,55,"19;21",QA自动化,测试脚本与报告,自动化覆盖>=70%,0,Medium
23,4,阶段4-联调测试,2026-08-03,2026-09-04,25,"17;20;21;22",QA组,联调报告,回归通过率>=95%,0,High
24,4.1,全链路联调(转账/质押/治理/IBC),2026-08-03,2026-08-21,15,23,QA+开发,联调缺陷单,P0缺陷=0,0,High
25,4.2,性能与稳定性测试,2026-08-10,2026-08-28,15,23,性能测试,压测报告,P95<300ms,0,High
26,4.3,安全测试与整改,2026-08-10,2026-08-31,16,23,安全工程师,安全报告,高危=0,0,High
27,4.4,发布候选包与M5评审,2026-09-01,2026-09-04,4,"24;25;26",PM/DevOps,RC发布包,M5通过,0,Medium
28,5,阶段5-上线运维,2026-09-07,2026-09-25,15,27,运维组,上线报告,SLA>=99.9%,0,High
29,5.1,主网发布与灰度,2026-09-07,2026-09-11,5,28,DevOps,上线执行记录,灰度成功率=100%,0,High
30,5.2,监控告警与应急演练,2026-09-10,2026-09-18,7,29,SRE,告警规则+演练报告,告警有效率>=85%,0,Medium
31,5.3,稳定观察与M6验收,2026-09-15,2026-09-25,9,"29;30",PM/运维,上线复盘报告,Sev1=0(7天),0,Medium
